标题,关键词
基于专利数据的技术主题扩散量化研究与实现,"技术扩散,专利数据,主题模型,测度指标,石墨烯"
信息框架对健康行为意愿改变的作用研究——眼动实验与启示,"信息框架,健康行为改变,收益-损失框架,时间框架,眼动实验"
基于方面词的用户消费心理画像方法,"三层次体验理论,消费心理,用户画像,产品特征,方面词,情感分析"
弹幕视频的情感时间曲线聚类与传播效果,"情感词典,情感曲线,时间序列"
结合GNN、Bi-GRU及注意力机制的会话序列推荐,"序列推荐,会话,图神经网络,Bi-GRU,注意力机制"
基于用户-评论-商户关系的虚假用户识别研究：用户偏差分析的视角,"用户偏差,增强关系,虚假用户识别,均值偏差,虚假度"
SSVAE：一种补充语义信息的深度变分文本聚类模型,"文本聚类,语义缺失,语义补充,深度变分推断"
融合注意力机制与句向量压缩的长文本分类模型,"文本分类,预训练语言模型,特征向量,注意力机制,文本分割"
基于主题聚类的新媒体政务互动内容摘要生成研究,"新媒体,政务互动内容,摘要生成,主题聚类"
基于医学领域知识和远程监督的医学实体关系抽取研究,"医学关系抽取,远程监督,医学领域知识,预训练语言模型"
基于文本成分距离的节事“官方投射形象-观众感知形象”比较研究,"感知形象,投射形象,扎根理论,文本成分距离"
基于多任务学习的税务稽查选案研究,"多源数据融合,智慧税务稽查,多任务结构化稀疏学习,焦点损失函数"
图数据库在复杂网络分析中的研究与应用进展,"知识图谱,图数据库,复杂网络"
颠覆性技术识别研究进展综述,"颠覆性技术,识别方法,研究进展,综述"
基于随机森林和关键词查询扩展的医学文献推荐方法,"文献推荐,临床决策支持,随机森林,关键词查询扩展"
面向多源数据的学科主题挖掘与演化分析,"主题演化,LDA,主题相似度,演化类型,多源数据"
在线社区用户画像及自我呈现主题挖掘——以网易云音乐社区为例,"自我呈现,用户画像,BERT主题聚类,群体差异,在线社区"
基于在线健康社区的药物不良反应信号识别方法研究,"在线健康社区,知识发现,比例报告比法,药物不良反应"
基于多源语义知识图谱的药物知识发现:以药物重定位为实证,"知识发现,药物重定位,语义模型,知识图谱"
一种融合法律知识的相似案例匹配模型,"案例匹配,BERT,法律知识,分段建模,三元组损失"
STNLTP:一种基于集成策略的中文专利摘要生成模型,"专利摘要,义原,词向量,字向量,指针生成网络"
基于Bi-LSTM与双路CNN的金融领域文本因果关系识别,"金融文本,因果识别,双向长短期记忆网络,双路CNN"
重大突发公共卫生事件下的公众情感演进分析:基于新冠肺炎疫情的考察,"突发公共卫生事件,微博舆情,情绪演化,主题分析,时空分析"
基于对抗网络的文本对齐跨语言情感分类方法,"词对齐,文本对齐,生成对抗网络,多特征融合,分层神经网络"
基于社会网络的结构多样性研究综述*,"结构多样性,社会计算,社会网络分析"
知识扩散中的“常识化后免于引用”现象：一项评述,"常识化后免于引用,知识生产,科学知识扩散,知识老化"
专利审查周期影响因素研究——以中国人工智能领域为例*,"专利审查周期,生存分析,人工智能"
因果知识引导的技术机会发现——以电动汽车充电桩为例*,"技术机会发现,充电桩,因果智能"
基于注意力机制和卷积神经网络的中文人物关系抽取与识别*,"卷积神经网络,注意力机制,中文人物,关系抽取,关系识别"
融合动态主题词库和改进Shark-Search算法的主题爬虫方法——以武器装备领域为例*,"主题爬虫,Shark-Search,主题相关度表,主题词表"
基于特征分组和组合的住宿共享信任评估研究*,"住宿共享,信任评估,特征分组,特征组合"
融合神经网络与全局推理的实体共指消解算法*,"神经网络,共指消解,实体消歧,全局推理"
IMTS：融合图像与文本语义的虚假评论检测方法*,"虚假评论,多模态,文本,图像,BERT"
基于动态演化的大学生网络舆情预警模型研究*,"大学生舆情,预警分析,系统动力学,仿真实验"
基于结构功能和实体识别的文本语义表示——以病历领域为例*,"中文病历,文本结构功能,命名实体识别,文本语义表示,BiLSTM-CRF模型"
基于灰狼优化与多机器学习的重大传染病集合预测研究——以COVID-19疫情为例*,"重大传染病疫情,集合预测,灰狼优化,机器学习"
基于趋势度分析的科技领域核心主题发展预测,"主题发现,VOS聚类,指数平滑法,ARIMA模型,战略坐标"
